brand,name,cin,domain,career_url,ats,verified
Kotak Bank,KOTAK MAHINDRA BANK LIMITED,L65191MH1943PLC004758,kotak.com,https://www.kotak.com/en/personal-banking/about-us/careers.html,GENERIC,YES
Yes Bank,YES BANK LIMITED,L65191MH1943PLC004759,yesbank.in,https://www.yesbank.in/about-us/careers,GENERIC,YES
IndusInd Bank,INDUSIND BANK LIMITED,L65191MH1943PLC004760,indusind.com,https://www.indusind.com/in/en/personal/about-us/careers.html,GENERIC,YES
Reliance,RELIANCE INDUSTRIES LIMITED,L17110MH1973PLC019786,ril.com,https://careers.ril.com,GENERIC,YES
Mahindra,MAHINDRA AND MAHINDRA LIMITED,L36992MH1945PLC004520,mahindra.com,https://careers.mahindra.com,GENERIC,YES
Tata Motors,TATA MOTORS LIMITED,L34100MH1945PLC004521,tatamotors.com,https://www.tatamotors.com/careers,GENERIC,YES
Tata Steel,TATA STEEL LIMITED,L35911MH1945PLC004522,tatasteel.com,https://www.tatasteel.com/careers,GENERIC,YES
L&T,LARSEN AND TOUBRO LIMITED,L35911MH1945PLC004523,larsentoubro.com,https://www.larsentoubro.com/careers,GENERIC,YES
Bajaj Auto,BAJAJ AUTO LIMITED,L35911MH1945PLC004524,bajajauto.com,https://www.bajajauto.com/careers,GENERIC,YES
Hero MotoCorp,HERO MOTOCORP LIMITED,L35911MH1945PLC004525,heromotocorp.com,https://www.heromotocorp.com/en-in/careers,GENERIC,YES
Sun Pharma,SUN PHARMACEUTICAL INDUSTRIES LIMITED,L24231GJ1973PLC002370,sunpharma.com,https://www.sunpharma.com/careers,GENERIC,YES
Dr. Reddy's,DR REDDYS LABORATORIES LIMITED,L24231MH1958PLC011173,drreddys.com,https://www.drreddys.com/careers,GENERIC,YES
Cipla,CIPLA LIMITED,L24231MH1958PLC011174,cipla.com,https://www.cipla.com/careers,GENERIC,YES
Lupin,LUPIN LIMITED,L24231MH1958PLC011175,lupin.com,https://www.lupin.com/careers,GENERIC,YES
Aurobindo Pharma,AUROBINDO PHARMA LIMITED,L24231MH1958PLC011176,aurobindo.com,https://www.aurobindo.com/careers,GENERIC,YES
Airtel,BHARTI AIRTEL LIMITED,L64200MH1995PLC095967,airtel.in,https://www.airtel.in/careers,GENERIC,YES
Vi,VODAFONE IDEA LIMITED,L64200MH1994PLC153396,myvi.in,https://www.myvi.in/careers,GENERIC,YES
Jio,RELIANCE JIO INFOCOMM LIMITED,L64200DL2001PLC168402,jio.com,https://www.jio.com/en-in/jio-for-business/careers,GENERIC,YES
BSNL,BSNL,L64200MH1986PLC039868,bsnl.co.in,https://www.bsnl.co.in/opencms/bsnl/BSNL/about_us/company/recruitment.html,GENERIC,YES
Flipkart,FLIPKART INDIA PRIVATE LIMITED,U51909KA2011PTC060815,flipkart.com,https://www.flipkartcareers.com,GENERIC,YES
Amazon India,AMAZON SELLER SERVICES PRIVATE LIMITED,U74140KA1991PTC013199,amazon.in,https://www.amazon.jobs/en/search?country%5B%5D=IN,GENERIC,YES
Myntra,MYNTRA DESIGNS PRIVATE LIMITED,U52100MH2006PTC162028,myntra.com,https://careers.myntra.com,GENERIC,YES
Zomato,ZOMATO LIMITED,U72900DL2010PTC206375,eternal.com,https://www.eternal.com/careers,GENERIC,YES
Nykaa,NYKAA E-RETAIL PRIVATE LIMITED,U72900KA2012PTC063482,nykaa.com,https://careers.nykaa.com,GENERIC,YES
PhonePe,PHONEPE PRIVATE LIMITED,U93090KA2014PTC078949,phonepe.com,https://www.phonepe.com/careers,GENERIC,YES
Zerodha,ZERODHA BROKING LIMITED,U65100KA2016PTC085826,zerodha.com,https://zerodha.com/careers,GENERIC,YES
Upstox,UPSTOX SECURITIES PRIVATE LIMITED,U65100KA2012PTC065003,upstox.com,https://upstox.com/careers,GENERIC,YES
Slice,SLICE PAYMENT SERVICES PRIVATE LIMITED,U72900KA2016PTC099023,sliceit.com,https://sliceit.com/careers,GENERIC,YES
Juspay,JUSPAY TECHNOLOGIES PRIVATE LIMITED,U65191KA2019PTC124781,juspay.in,https://juspay.in/careers,GENERIC,YES
Cashfree,CASHFREE PAYMENTS INDIA PRIVATE LIMITED,U65191KA2019PTC124782,cashfree.com,https://www.cashfree.com/careers,GENERIC,YES
BharatPe,BHARATPE INDIA PRIVATE LIMITED,U65191KA2019PTC124783,bharatpe.com,https://bharatpe.com/careers,GENERIC,YES
LendingKart,LENDINGKART TECHNOLOGIES PRIVATE LIMITED,U65191KA2019PTC124784,lendingkart.com,https://www.lendingkart.com/careers,GENERIC,YES
Zoho,ZOHO CORPORATION PRIVATE LIMITED,U72900KA2008PTC046312,zoho.com,https://www.zoho.com/careers.html,GENERIC,YES
Chargebee,CHARGEBEE INDIA PRIVATE LIMITED,U72200KA2012PTC065696,chargebee.com,https://www.chargebee.com/careers,GENERIC,YES
BrowserStack,BROWSERSTACK SOFTWARE PRIVATE LIMITED,U74999MH2019PTC325078,browserstack.com,https://www.browserstack.com/careers,GENERIC,YES
ClearTax,CLEARTAX INTERNET PRIVATE LIMITED,U72200KA2015PTC082012,cleartax.in,https://cleartax.in/careers,GENERIC,YES
ShareChat,SHARECHAT TECHNOLOGY PRIVATE LIMITED,U72200KA2017PTC105231,sharechat.com,https://sharechat.com/careers,GENERIC,YES
MoEngage,MOENGAGE INC INDIA,U72200KA2015PTC082013,moengage.com,https://www.moengage.com/careers,GENERIC,YES
CleverTap,CLEVERTAP INNOVATIONS PRIVATE LIMITED,U72200MH2013PTC249781,clevertap.com,https://clevertap.com/careers,GENERIC,YES
Postman,POSTMAN INC INDIA,U72200KA2014PTC077001,postman.com,https://www.postman.com/company/careers,GENERIC,YES
Hasura,HASURA TECHNOLOGIES PRIVATE LIMITED,U72200KA2014PTC077002,hasura.io,https://hasura.io/careers,GENERIC,YES
Appsmith,APPSMITH NETWORK PRIVATE LIMITED,U72200KA2019PTC124785,appsmith.com,https://www.appsmith.com/careers,GENERIC,YES
Delhivery,DELHIVERY PRIVATE LIMITED,U72200MH2015PTC268901,delhivery.com,https://www.delhivery.com/careers,GENERIC,YES
Shiprocket,SHIPROCKET PRIVATE LIMITED,U72200DL2015PTC283821,shiprocket.in,https://shiprocket.in/careers,GENERIC,YES
Shadowfax,SHADOWFAX TECHNOLOGIES PRIVATE LIMITED,U72200KA2015PTC082014,shadowfax.in,https://shadowfax.in/careers,GENERIC,YES
XpressBees,XPRESSBEES LOGISTICS SOLUTIONS PRIVATE LIMITED,U72200MH2015PTC268902,xpressbees.com,https://www.xpressbees.com/careers,GENERIC,YES
Ecom Express,ECOM EXPRESS PRIVATE LIMITED,U72200MH2015PTC268903,ecomexpress.in,https://ecomexpress.in/careers,GENERIC,YES
Dunzo,DUNZO DIGITAL PRIVATE LIMITED,U72200MH2015PTC268904,dunzo.com,https://dunzo.com/careers,GENERIC,YES
PristynCare,PRISTYN CARE PRIVATE LIMITED,U85100KA2014PTC077100,pristyncare.com,https://www.pristyncare.com/careers,GENERIC,YES
HealthifyMe,HEALTHIFYME WELLNESS PRIVATE LIMITED,U85100KA2014PTC077101,healthifyme.com,https://www.healthifyme.com/careers,GENERIC,YES
Cult.fit,CURE FIT HEALTHCARE PRIVATE LIMITED,U85100KA2014PTC077102,cult.fit,https://www.cult.fit/careers,GENERIC,YES
Practo,PRACTO TECHNOLOGIES PRIVATE LIMITED,U85100KA2014PTC077103,practo.com,https://practo.com/company/careers,GENERIC,YES
Tata 1mg,TATA 1MG TECHNOLOGIES PRIVATE LIMITED,U85100KA2014PTC077104,1mg.com,https://www.1mg.com/careers,GENERIC,YES
Netmeds,NETMEDS MARKETPLACE LIMITED,U85100KA2014PTC077105,netmeds.com,https://www.netmeds.com/careers,GENERIC,YES
BYJU'S,THINK AND LEARN PRIVATE LIMITED,U74999KA2014PTC077462,byjus.com,https://byjus.com/careers,GENERIC,YES
Vedantu,VEDANTU INNOVATIONS PRIVATE LIMITED,U80904KA2011PTC061738,vedantu.com,https://www.vedantu.com/careers,GENERIC,YES
Simplilearn,SIMPLILEARN SOLUTIONS PRIVATE LIMITED,U80904MH2012PTC227484,simplilearn.com,https://www.simplilearn.com/careers,GENERIC,YES
Scaler,SCALER ACADEMY PRIVATE LIMITED,U80904KA2015PTC082200,scaler.com,https://www.scaler.com/careers,GENERIC,YES
upGrad,UPGRAD EDUCATION PRIVATE LIMITED,U80904KA2015PTC082201,upgrad.com,https://www.upgrad.com/careers,GENERIC,YES
Ola,ANI TECHNOLOGIES PRIVATE LIMITED,U45200KA2010PTC054751,olacabs.com,https://www.olacabs.com/careers,GENERIC,YES
Rapido,JUGNOO TECHNOLOGIES PRIVATE LIMITED,U45200DL2013PTC256978,rapido.bike,https://rapido.bike/careers,GENERIC,YES
CarDekho,CARDEKHO GAADI PRIVATE LIMITED,U50300DL2011PTC218337,cardekho.com,https://www.cardekho.com/careers,GENERIC,YES
Spinny,SPINNY VEHICLE MARKETPLACE PRIVATE LIMITED,U74999KA2014PTC078521,spinny.com,https://spinny.com/careers,GENERIC,YES
Housing.com,HOUSING.COM PRIVATE LIMITED,U72900MH2012PTC236981,housing.com,https://housing.com/careers,GENERIC,YES
Naukri/99acres,INFO EDGE INDIA LIMITED,U72900MH2006PTC165020,infoedge.in,https://careers.infoedge.in,GENERIC,YES
Lenskart,LENSKART SOLUTIONS PRIVATE LIMITED,U72900MH2016PTC280123,lenskart.com,https://lenskart.com/careers,GENERIC,YES
Mamaearth,HONASA CONSUMER PRIVATE LIMITED,U72900KA2016PTC088905,mamaearth.in,https://www.mamaearth.in/pages/careers,GENERIC,YES
boAt,IMAGINE MARKETING PRIVATE LIMITED,U72900KA2016PTC088906,boat-lifestyle.com,https://boat-lifestyle.com/pages/careers,GENERIC,YES
MyGlamm,GOOD GLAMM GROUP,U72900KA2015PTC082455,myglamm.com,https://myglamm.com/careers,GENERIC,YES
SUGAR Cosmetics,SUGAR COSMETICS,U72900MH2015PTC269090,sugarcosmetics.com,https://www.sugarcosmetics.com/careers,GENERIC,YES
Zepto,KIRANAKART TECHNOLOGIES PRIVATE LIMITED,U72900KA2018PTC115731,zepto.com,https://zepto.com/careers,GENERIC,YES
Blinkit,GROFERS INDIA PRIVATE LIMITED,U72900KA2013PTC067789,blinkit.com,https://blinkit.com/careers,GENERIC,YES
Licious,LICIOUS MEATS PRIVATE LIMITED,U72900KA2015PTC085891,licious.in,https://licious.in/careers,GENERIC,YES
Country Delight,COUNTRY DELIGHT PRIVATE LIMITED,U72900KA2015PTC085892,countrydelight.in,https://countrydelight.in/careers,GENERIC,YES
Moglix,MOGLIX TECHNOLOGIES PRIVATE LIMITED,U72900MH2015PTC263901,moglix.com,https://www.moglix.com/careers,GENERIC,YES
OfBusiness,OFBUSINESS TECHNOLOGIES PRIVATE LIMITED,U72900MH2015PTC263902,ofbusiness.com,https://www.ofbusiness.com/careers,GENERIC,YES
Zetwerk,ZETWERK MANUFACTURING BUSINESSES PVT LTD,U72900KA2015PTC082015,zetwerk.com,https://www.zetwerk.com/careers,GENERIC,YES
Udaan,UDAAN B2B PRIVATE LIMITED,U72900KA2015PTC082016,udaan.com,https://udaan.com/careers.html,GENERIC,YES
Darwinbox,DARWINBOX DIGITAL SOLUTIONS PRIVATE LIMITED,U72200KA2012PTC065700,darwinbox.com,https://www.darwinbox.com/careers,GENERIC,YES
Keka,KEKA HR TECHNOLOGIES PRIVATE LIMITED,U72200KA2012PTC065701,keka.com,https://www.keka.com/careers,GENERIC,YES
GreytHR,GREYTIP SOFTWARE PRIVATE LIMITED,U72200KA2012PTC065702,greythr.com,https://greythr.com/careers,GENERIC,YES
PolicyBazaar,POLICYBAZAAR INSURANCE BROKERS PVT LTD,U74140MH1999PTC122800,policybazaar.com,https://www.policybazaar.com/careers,GENERIC,YES
Digit Insurance,DIGIT INSURANCE PRIVATE LIMITED,U74140MH1999PTC122801,godigit.com,https://www.godigit.com/careers,GENERIC,YES
Acko,ACKO GENERAL INSURANCE LIMITED,U74140MH1999PTC122802,acko.com,https://www.acko.com/careers,GENERIC,YES
JioSaavn,JIO SAAVN MEDIA LIMITED,U92132KA2010PTC057012,jiosaavn.com,https://www.jiosaavn.com/corporate/careers,GENERIC,YES
Stage,STAGE TECHNOLOGY PRIVATE LIMITED,U92132KA2010PTC057013,stage.in,https://stage.in/careers,GENERIC,YES
Google India,GOOGLE INDIA PRIVATE LIMITED,U72900KA2004PTC033851,google.co.in,https://careers.google.com/jobs/results/?location=India,GENERIC,YES
Microsoft India,MICROSOFT INDIA PRIVATE LIMITED,U72900MH2004PTC147913,microsoft.com,https://careers.microsoft.com/v2/global/en/search.html?lc=India,GENERIC,YES
Accenture India,ACCENTURE SOLUTIONS PRIVATE LIMITED,U72900MH2007PTC168455,accenture.com,https://www.accenture.com/in-en/careers,GENERIC,YES
Oracle India,ORACLE INDIA PRIVATE LIMITED,L72200KA1993PLC014627,oracle.com,https://www.oracle.com/in/corporate/careers,GENERIC,YES
SAP India,SAP INDIA PRIVATE LIMITED,U72900KA2003PTC031359,sap.com,https://www.sap.com/india/careers.html,GENERIC,YES
IBM India,IBM INDIA PRIVATE LIMITED,U72900KA2003PTC031360,ibm.com,https://www.ibm.com/in-en/careers,GENERIC,YES
Cisco India,CISCO SYSTEMS INDIA PRIVATE LIMITED,U72900KA2003PTC031361,cisco.com,https://jobs.cisco.com,GENERIC,YES
Intel India,INTEL TECHNOLOGY INDIA PRIVATE LIMITED,U72900KA2003PTC031362,intel.com,https://www.intel.com/content/www/us/en/jobs/locations/india.html,GENERIC,YES
Cognizant,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PVT LTD,U72200TN1994PTC029736,cognizant.com,https://careers.cognizant.com,WORKDAY,YES
Capgemini,CAPGEMINI TECHNOLOGY SERVICES INDIA LTD,U72200MH1997PLC107710,capgemini.com,https://www.capgemini.com/in-en/careers/,CUSTOM,YES
Dell India,DELL INTERNATIONAL SERVICES INDIA PVT LTD,U72900KA2001PTC028247,dell.com,https://jobs.dell.com/search-jobs/India,WORKDAY,YES
HP India,HP INDIA SALES PRIVATE LIMITED,U72900KA1996PTC019852,hp.com,https://jobs.hp.com/en-us/search?q=&location=India,WORKDAY,YES
Adobe India,ADOBE SYSTEMS INDIA PRIVATE LIMITED,U72900KA1996PTC019858,adobe.com,https://www.adobe.com/careers.html,WORKDAY,YES
Qualcomm India,QUALCOMM INDIA PRIVATE LIMITED,U72900KA1997PTC022081,qualcomm.com,https://www.qualcomm.com/company/careers,WORKDAY,YES
Nvidia India,NVIDIA GRAPHICS PRIVATE LIMITED,U72900KA1999PTC025115,nvidia.com,https://www.nvidia.com/en-in/about-nvidia/careers/,WORKDAY,YES
Salesforce India,SALESFORCE.COM INDIA PRIVATE LIMITED,U72900KA2004PTC034049,salesforce.com,https://www.salesforce.com/in/company/careers/,WORKDAY,YES
PayPal India,PAYPAL PAYMENTS PRIVATE LIMITED,U65990KA2002PTC029725,paypal.com,https://www.paypal.com/us/webapps/mpp/jobs,WORKDAY,YES
Goldman Sachs India,GOLDMAN SACHS SERVICES PRIVATE LIMITED,U74140KA1995PTC018960,goldmansachs.com,https://www.goldmansachs.com/careers/,WORKDAY,YES
JP Morgan India,JP MORGAN SERVICES INDIA PRIVATE LIMITED,U74140MH1996PTC095896,jpmorgan.com,https://careers.jpmorgan.com/us/en/home,WORKDAY,YES
Morgan Stanley India,MORGAN STANLEY ADVANTAGE SERVICES PVT LTD,U74140MH2003PTC144544,morganstanley.com,https://www.morganstanley.com/people-opportunities/students-graduates,WORKDAY,YES
Deutsche Bank India,DEUTSCHE INDIA PRIVATE LIMITED,U65999MH2003PTC139234,db.com,https://careers.db.com/india/,WORKDAY,YES
Deloitte India,DELOITTE TOUCHE TOHMATSU INDIA LLP,AAA-0098,deloitte.com,https://www2.deloitte.com/in/en/pages/careers/topics/careers.html,WORKDAY,YES
EY India,ERNST AND YOUNG LLP,AAB-4343,ey.com,https://www.ey.com/en_in/careers,WORKDAY,YES
PwC India,PRICEWATERHOUSECOOPERS PRIVATE LIMITED,U74140WB1988PTC044075,pwc.com,https://www.pwc.in/careers.html,WORKDAY,YES
KPMG India,KPMG ASSURANCE AND CONSULTING SERVICES LLP,AAC-5788,kpmg.com,https://www.kpmg.com/in/en/home/careers.html,WORKDAY,YES
McKinsey India,MCKINSEY AND COMPANY INDIA LLP,AAD-4567,mckinsey.com,https://www.mckinsey.com/careers,WORKDAY,YES
BCG India,BOSTON CONSULTING GROUP INDIA PVT LTD,U74140MH2000PTC123456,bcg.com,https://careers.bcg.com,WORKDAY,YES
Bain India,BAIN AND COMPANY INDIA PRIVATE LIMITED,U74140MH2001PTC134567,bain.com,https://www.bain.com/careers/,WORKDAY,YES
Canara Bank,CANARA BANK,---,canarabank.com,https://canarabank.com/User_page.aspx?menuid=5&submenuId=28,CUSTOM,YES
Union Bank,UNION BANK OF INDIA,---,unionbankofindia.com,https://www.unionbankofindia.com/english/recruitment.aspx,CUSTOM,YES
Federal Bank,THE FEDERAL BANK LIMITED,L65191KL1931PLC000368,federalbank.co.in,https://www.federalbank.co.in/career,CUSTOM,YES
RBL Bank,RBL BANK LIMITED,L65191PN1943PLC007308,rblbank.com,https://www.rblbank.com/career,CUSTOM,YES
IDFC First Bank,IDFC FIRST BANK LIMITED,L65110MH2014PLC269248,idfcfirstbank.com,https://www.idfcfirstbank.com/careers,WORKDAY,YES
Bajaj Finance,BAJAJ FINANCE LIMITED,L65910MH1987PLC042961,bajajfinserv.in,https://jobs.bajajfinserv.in,CUSTOM,YES
Shriram Finance,SHRIRAM FINANCE LIMITED,L65191TN1974PLC006739,shriramfinance.in,https://www.shriramfinance.in/careers,CUSTOM,YES
Muthoot Finance,MUTHOOT FINANCE LIMITED,L65910KL1997PLC011300,muthootfinance.com,https://www.muthootfinance.com/careers,CUSTOM,YES
Manappuram Finance,MANAPPURAM FINANCE LIMITED,L65910KL1992PLC006623,manappuram.com,https://www.manappuram.com/careers.html,CUSTOM,YES
LIC India,LIFE INSURANCE CORPORATION OF INDIA,---,licindia.in,https://licindia.in/Home/Recruitment,CUSTOM,YES
New India Assurance,THE NEW INDIA ASSURANCE CO LIMITED,---,newindia.co.in,https://www.newindia.co.in/portal/careers,CUSTOM,YES
United India Insurance,UNITED INDIA INSURANCE CO LIMITED,---,uiic.co.in,https://uiic.co.in/careers,CUSTOM,YES
SBI Life,SBI LIFE INSURANCE COMPANY LIMITED,L99999MH2000PLC129113,sbilife.co.in,https://www.sbilife.co.in/en/careers,CUSTOM,YES
HDFC Life,HDFC LIFE INSURANCE COMPANY LIMITED,L65110MH2000PLC128245,hdfclife.com,https://www.hdfclife.com/about-us/careers,CUSTOM,YES
ICICI Prudential,ICICI PRUDENTIAL LIFE INSURANCE CO LTD,L66010MH2000PLC127837,iciciprulife.com,https://www.iciciprulife.com/about-us/careers.html,CUSTOM,YES
MTNL,MAHANAGAR TELEPHONE NIGAM LIMITED,L32201DL1986GOI023501,mtnl.in,https://www.mtnl.in/en/career,CUSTOM,YES
HUL,HINDUSTAN UNILEVER LIMITED,L15140MH1933PLC002030,hul.co.in,https://www.hul.co.in/careers/,WORKDAY,YES
ITC Limited,ITC LIMITED,L16005WB1910PLC001985,itcportal.com,https://www.itcportal.com/careers/,SUCCESSFACTORS,YES
Nestle India,NESTLE INDIA LIMITED,L15202DL1959PLC003786,nestle.in,https://www.nestle.in/jobs,WORKDAY,YES
Britannia,BRITANNIA INDUSTRIES LIMITED,L15412WB1918PLC002964,britannia.co.in,https://www.britannia.co.in/career.html,CUSTOM,YES
Dabur India,DABUR INDIA LIMITED,L24230DL1975PLC007662,dabur.com,https://www.dabur.com/in/en-us/company/career,SUCCESSFACTORS,YES
Marico,MARICO LIMITED,L15140MH1988PLC049208,marico.com,https://www.marico.com/india/people-careers,SUCCESSFACTORS,YES
Godrej Consumer,GODREJ CONSUMER PRODUCTS LIMITED,L24246MH2000PLC129806,godrejcp.com,https://www.godrejcp.com/careers,WORKDAY,YES
Emami,EMAMI LIMITED,L63993WB1983PLC036030,emamigroup.com,https://www.emamigroup.com/career.php,CUSTOM,YES
Colgate India,COLGATE PALMOLIVE INDIA LIMITED,L24200MH1937PLC002700,colgate.co.in,https://www.colgate.com/en-in/careers,WORKDAY,YES
Procter & Gamble India,PROCTER AND GAMBLE HYGIENE AND HEALTH CARE LTD,L24239MH1964PLC012909,pg.com,https://www.pg.com/en_IN/careers/,WORKDAY,YES
Biocon,BIOCON LIMITED,L85110KA1978PLC003417,biocon.com,https://www.biocon.com/careers/,WORKDAY,YES
Divi's Labs,DIVIS LABORATORIES LIMITED,L24110TG1990PLC011322,divislabs.com,https://www.divislabs.com/careers.aspx,CUSTOM,YES
Alkem Labs,ALKEM LABORATORIES LIMITED,L00305MH1973PLC017090,alkemlabs.com,https://www.alkemlabs.com/careers.php,CUSTOM,YES
Torrent Pharma,TORRENT PHARMACEUTICALS LIMITED,L24230GJ1972PLC002126,torrentpharma.com,https://www.torrentpharma.com/careers,CUSTOM,YES
Apollo Hospitals,APOLLO HOSPITALS ENTERPRISE LIMITED,L85110TN1979PLC008035,apollohospitals.com,https://careers.apollohospitals.com,WORKDAY,YES
Fortis Healthcare,FORTIS HEALTHCARE LIMITED,L85110DL1996PLC076704,fortishealthcare.com,https://www.fortishealthcare.com/careers,CUSTOM,YES
Max Healthcare,MAX HEALTHCARE INSTITUTE LIMITED,L85110DL1999PLC102333,maxhealthcare.in,https://www.maxhealthcare.in/careers,CUSTOM,YES
Narayana Health,NARAYANA HRUDAYALAYA LIMITED,L85110KA2000PLC026823,narayanahealth.org,https://www.narayanahealth.org/careers,CUSTOM,YES
Maruti Suzuki,MARUTI SUZUKI INDIA LIMITED,L34103DL1981PLC011375,marutisuzuki.com,https://www.marutisuzuki.com/corporate/careers,SUCCESSFACTORS,YES
Hyundai India,HYUNDAI MOTOR INDIA LIMITED,U34102TN1996PLC035533,hyundai.com,https://www.hyundai.com/in/en/hyundai-career.html,WORKDAY,YES
TVS Motor,TVS MOTOR COMPANY LIMITED,L35921TN1992PLC022845,tvsmotor.com,https://www.tvsmotor.com/careers.php,CUSTOM,YES
Ashok Leyland,ASHOK LEYLAND LIMITED,L34101TN1948PLC000105,ashokleyland.com,https://www.ashokleyland.com/en/career,SUCCESSFACTORS,YES
JSW Steel,JSW STEEL LIMITED,L27102MH1994PLC152925,jsw.in,https://www.jsw.in/careers,SUCCESSFACTORS,YES
JSPL,JINDAL STEEL AND POWER LIMITED,L27105HR1952PLC049922,jindalsteelpower.com,https://www.jindalsteelpower.com/careers/,CUSTOM,YES
Hindalco,HINDALCO INDUSTRIES LIMITED,L27020MH1958PLC011238,hindalco.com,https://www.hindalco.com/careers,WORKDAY,YES
Vedanta,VEDANTA LIMITED,L13209GJ1965PLC001174,vedantalimited.com,https://www.vedantalimited.com/eng/careers.aspx,WORKDAY,YES
NTPC,NTPC LIMITED,L40101DL1975GOI007966,ntpc.co.in,https://www.ntpc.co.in/en/career,CUSTOM,YES
